WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA
,102,Person County Department of Social Services,Roxboro,"355-B S. Madison Blvd., Roxboro, NC 27573",+13365998361,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"40,143",Person,27291 27343 27541 27572 27573 27574 27583,NCDHHS Local DSS Directory,person-county-department-of-social-services-energy,person-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,103,Pitt County Department of Social Services,Greenville,"1717 W. Fifth St., Greenville, NC 27834",+12529021110,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,17,"180,783",Pitt,27812 27828 27829 27833 27834 27835 27836 27837 27858 27871 27879 27884 27888 27889 28513 28530 28590,NCDHHS Local DSS Directory,pitt-county-department-of-social-services-energy,pitt-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,104,Polk County Department of Social Services,,"231 Wolverine Trail, Mill Spring, 28756",+18288942100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"20,320",Polk,28139 28722 28756 28773 28782,NCDHHS Local DSS Directory,polk-county-department-of-social-services-energy,polk-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,105,Randolph County Department of Social Services,Asheboro,"1512 N. Fayetteville St., Asheboro, NC 27204-3239",+13366838000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,16,"148,389",Randolph,27203 27205 27208 27233 27239 27248 27263 27298 27313 27316 27317 27341 27350 27355 27360 27370,NCDHHS Local DSS Directory,randolph-county-department-of-social-services-energy,randolph-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,106,Richmond County Department of Social Services,Rockingham,"125 Caroline St., Rockingham, NC 28379",+19109978480,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"41,990",Richmond,27229 27306 28338 28345 28347 28363 28379 28380,NCDHHS Local DSS Directory,richmond-county-department-of-social-services-energy,richmond-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,107,Robeson County Department of Social Services,Lumberton,"120 Glen Cowan Road, Lumberton, NC 28360",+19106713500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"118,624",Robeson,28340 28357 28358 28359 28360 28364 28369 28371 28372 28377 28383 28384 28386,NCDHHS Local DSS Directory,robeson-county-department-of-social-services-energy,robeson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,108,Rockingham County Department of Social Services,Wentworth,"411 NC HWY 65, Wentworth, NC 27375",+13363421394,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"93,517",Rockingham,27025 27027 27048 27214 27288 27289 27311 27320 27326 27357 27358,NCDHHS Local DSS Directory,rockingham-county-department-of-social-services-energy,rockingham-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,109,Rowan County Department of Social Services,Salisbury,"1813 E. Innes St., Salisbury, NC 28146",+17042168330,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,19,"153,384",Rowan,27013 27054 28023 28039 28041 28071 28072 28081 28083 28088 28115 28125 28137 28138 28144 28145 28146 28147 28159,NCDHHS Local DSS Directory,rowan-county-department-of-social-services-energy,rowan-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,110,Rutherford County Department of Social Services,Spindale,"389 Fairground Road, Spindale, NC 28160",+18282876165,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,10,"65,587",Rutherford,28018 28020 28040 28043 28114 28139 28160 28167 28720 28746,NCDHHS Local DSS Directory,rutherford-county-department-of-social-services-energy,rutherford-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,111,Sampson County Department of Social Services,Clinton,"360 County Complex Road, Suite 100, Clinton, NC 28328",+19105927131,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,16,"60,404",Sampson,28318 28328 28329 28334 28341 28344 28366 28382 28385 28393 28441 28444 28447 28453 28458 28478,NCDHHS Local DSS Directory,sampson-county-department-of-social-services-energy,sampson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,112,Scotland County Department of Social Services,Laurinburg,"1405 West Blvd., Laurinburg, NC 28353",+19102772500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"33,898",Scotland,28343 28351 28352 28353 28363 28396,NCDHHS Local DSS Directory,scotland-county-department-of-social-services-energy,scotland-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,113,Stanly County Department of Social Services,Albemarle,"1000 N. First St., Suite 2, Albemarle, NC 28001",+17049826100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"67,326",Stanly,28001 28002 28009 28071 28097 28124 28127 28128 28129 28137 28163,NCDHHS Local DSS Directory,stanly-county-department-of-social-services-energy,stanly-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,114,Stokes County Department of Social Services,Danbury,"1010 N. Main St., Danbury, NC 27016",+13365932861,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"45,857",Stokes,27016 27019 27021 27022 27025 27041 27042 27043 27046 27050 27052 27053,NCDHHS Local DSS Directory,stokes-county-department-of-social-services-energy,stokes-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,115,Surry County Department of Social Services,Dobson,"118 Hamby Road, Dobson, NC 27017",+13364018700,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"71,547",Surry,27007 27017 27024 27030 27041 27043 27047 27049 27053 28621 28676 28683,NCDHHS Local DSS Directory,surry-county-department-of-social-services-energy,surry-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,116,Swain County Department of Social Services,Bryson City,"80 Academy St., Bryson City, NC 28713",+18284886921,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"13,945",Swain,28713 28719 28789,NCDHHS Local DSS Directory,swain-county-department-of-social-services-energy,swain-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,117,Transylvania County Department of Social Services,Brevard,"106 E. Morgan St., Brevard, NC 28712",+18288843174,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"34,103",Transylvania,28708 28712 28718 28742 28747 28766 28768 28772 28774,NCDHHS Local DSS Directory,transylvania-county-department-of-social-services-energy,transylvania-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,118,Tyrrell County Department of Social Services,Columbia,"102 N. Road St., Columbia, NC 27925",+12527963421,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"3,517",Tyrrell,27826 27925 27928,NCDHHS Local DSS Directory,tyrrell-county-department-of-social-services-energy,tyrrell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,119,Union County Department of Social Services,Monroe,"2330 Concord Avenue, Monroe, NC 28110",+17042964300,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"263,386",Union,28079 28103 28104 28110 28111 28112 28133 28173 28174,NCDHHS Local DSS Directory,union-county-department-of-social-services-energy,union-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,120,Vance County Department of Social Services,Henderson,"500 North Beckford Drive Suite C, Henderson, NC 27536",+12524925001,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"42,337",Vance,27507 27536 27537 27544 27553,NCDHHS Local DSS Directory,vance-county-department-of-social-services-energy,vance-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,121,Wake County Department of Social Services,Raleigh,"220 Swinburne St., Raleigh, NC 27620",+19192127000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,49,"1,232,444",Wake,27502 27511 27512 27513 27518 27519 27523 27526 27529 27539 27540 27545 27560 27562 27571 27587 27588 27591 27592 27597 27601 27602 27603 27604 27605 27606 27607 27608 27609 27610 27611 27612 27613 27614 27615 27616 27617 27619 27620 27622 27623 27624 27627 27628 27629 27636 27658 27661 27675,NCDHHS Local DSS Directory,wake-county-department-of-social-services-energy,wake-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,122,Warren County Department of Social Services,Warrenton,"307 N. Main St., Warrenton, NC 27589",+12522575000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"19,081",Warren,27551 27553 27563 27589 27842 27844 27850,NCDHHS Local DSS Directory,warren-county-department-of-social-services-energy,warren-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,123,Washington County Department of Social Services,Plymouth,"209 E. Main St., Plymouth, NC 27962",+12527934041,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"10,654",Washington,27928 27962 27970,NCDHHS Local DSS Directory,washington-county-department-of-social-services-energy,washington-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,124,Watauga County Department of Social Services,Boone,"132 Poplar Grove Connector, Suite C, Boone, NC 28607",+18282658100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"54,997",Watauga,28604 28605 28607 28618 28679 28684 28692 28698,NCDHHS Local DSS Directory,watauga-county-department-of-social-services-energy,watauga-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,125,Wayne County Department of Social Services,Goldsboro,"1560 Clingman St., Goldsboro, NC 27534",+19195804034,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"120,338",Wayne,27530 27532 27533 27534 27542 27569 27830 27863 27883 28333 28365 28551 28578,NCDHHS Local DSS Directory,wayne-county-department-of-social-services-energy,wayne-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,126,Wilkes County Department of Social Services,Wilkesboro,"304 College St., Wilkesboro, NC 28697",+13366517400,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,17,"66,186",Wilkes,27020 28606 28621 28624 28635 28649 28651 28654 28659 28665 28669 28670 28676 28683 28685 28689 28697,NCDHHS Local DSS Directory,wilkes-county-department-of-social-services-energy,wilkes-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,127,Wilson County Department of Social Services,Wilson,"100 NE Gold St., Wilson, NC 27894",+12522064000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"79,958",Wilson,27542 27813 27822 27829 27830 27851 27852 27880 27883 27888 27893 27894 27895 27896,NCDHHS Local DSS Directory,wilson-county-department-of-social-services-energy,wilson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,128,Yadkin County Department of Social Services,Yadkinville,"250 Willow St., Yadkinville, NC 27055",+13368497910,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"37,995",Yadkin,27011 27018 27020 27055 28642 28689,NCDHHS Local DSS Directory,yadkin-county-department-of-social-services-energy,yadkin-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,129,Yancey County Department of Social Services,Burnsville,"320 Pensacola Road, Burnsville, NC 28714",+18286826148,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"18,993",Yancey,28714 28740 28754,NCDHHS Local DSS Directory,yancey-county-department-of-social-services-energy,yancey-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,130,Alachua County Emergency Financial Assistance Program (EFAP) - Housing/Rent,Gainesville,"218 SE 24th St, Gainesville, FL 32641",+13522646750,Assistance services,"electric_bill, gas_bill, rent_assistance",1,27,"291,782",Alachua,32601 32603 32604 32605 32606 32607 32608 32609 32610 32614 32615 32616 32618 32622 32627 32631 32635 32640 32641 32643 32653 32655 32658 32666 32667 32669 32694,CornerHelp field research,alachua-county-emergency-financial-assistance-program-efap-housing-rent,,,,,,,,,,,,,,,,,
,131,All Faiths Food Bank — Food Assistance Network,Sarasota,"8171 Blaikie Ct, Sarasota, FL 34240",+19413796333,Assistance services,food_pantry,1,33,"476,604",Sarasota,34223 34228 34229 34230 34231 34232 34233 34234 34235 34236 34237 34238 34239 34240 34241 34242 34243 34272 34274 34275 34276 34277 34284 34285 34286 34287 34288 34289 34290 34291 34292 34293 34295,CornerHelp field research,all-faiths-food-bank-food-assistance-network,,,,,,,,,,,,,,,,,
,132,Bay County Housing / Emergency Assistance Services,Panama City,"840 W 11th St, Panama City, FL 32401",+18502488140,Assistance services,"food_pantry, rent_assistance",1,17,"199,718",Bay,32401 32402 32403 32404 32405 32406 32407 32408 32409 32411 32413 32417 32437 32438 32444 32456 32466,CornerHelp field research,bay-county-housing-emergency-assistance-services,,,,,,,,,,,,,,,,,
,133,Big Lake Mission Outreach — Food Assistance,Okeechobee,,+18637634654,Assistance services,food_pantry,1,3,"42,369",Okeechobee,34972 34973 34974,CornerHelp field research,big-lake-mission-outreach-food-assistance,,,,,,,,,,,,,,,,,
,134,Bonifay First United Methodist Church — Food Pantry,Bonifay,"202 N Oklahoma St, Bonifay, FL 32425",+18505473785,Assistance services,food_pantry,1,4,"19,876",Holmes,32425 32440 32455 32464,CornerHelp field research,bonifay-first-united-methodist-church-food-pantry,,,,,,,,,,,,,,,,,
,135,Caring & Sharing of South Walton — Emergency Food Pantry,Santa Rosa Beach,"112 Lynn Dr, Santa Rosa Beach, FL 32459",+18502672866,Assistance services,"food_pantry, rent_assistance",1,10,"89,666",Walton,32433 32435 32439 32455 32459 32461 32462 32464 32550 32567,CornerHelp field research,caring-sharing-of-south-walton-emergency-food-pantry,,,,,,,,,,,,,,,,,
,136,Catholic Charities St. Augustine — Emergency/Rural Food Assistance,St. Augustine,"525 SR 16, Unit 111-112, St. Augustine, FL 32084",+19048296300,Assistance services,food_pantry,1,13,"334,928",St. Johns,32004 32033 32080 32081 32082 32084 32085 32086 32092 32095 32145 32259 32260,CornerHelp field research,catholic-charities-st-augustine-emergency-rural-food-assistance,,,,,,,,,,,,,,,,,
,137,Catholic Charities St. Augustine — Rural Outreach / Food Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",+13863282333,Assistance services,"food_pantry, rent_assistance",1,14,"77,301",Putnam,32112 32131 32139 32140 32147 32148 32177 32178 32181 32187 32189 32193 32640 32666,CornerHelp field research,catholic-charities-st-augustine-rural-outreach-food-assistance,,,,,,,,,,,,,,,,,
,138,Catholic Charities — Food Distribution,Arcadia,"1330 E Oak St, Arcadia, FL 34266",+18634941068,Assistance services,food_pantry,1,2,"36,744",DeSoto,34266 34269,CornerHelp field research,catholic-charities-food-distribution,,,,,,,,,,,,,,,,,
,139,"Catholic Charities, Diocese of St. Petersburg — Financial Assistance",New Port Richey,"5609 US Hwy 19, Suite I, New Port Richey, FL 34652",+18136314370,Assistance services,rent_assistance,1,34,"659,114",Pasco,33523 33524 33525 33526 33539 33540 33541 33542 33543 33544 33545 33549 33556 33558 33559 33576 34610 34637 34638 34639 34652 34653 34654 34655 34656 34667 34668 34669 34673 34674 34680 34690 34691 34692,CornerHelp field research,catholic-charities-diocese-of-st-petersburg-financial-assistance,,,,,,,,,,,,,,,,,
,140,Christian Service Center of Columbia County — Food Pantry,Lake City,"421 NW Washington St, Lake City, FL 32055",+13867551770,Assistance services,food_pantry,1,9,"73,977",Columbia,32024 32025 32038 32055 32056 32061 32094 32096 32643,CornerHelp field research,christian-service-center-of-columbia-county-food-pantry,,,,,,,,,,,,,,,,,
,141,Collier County Community & Human Services — Social Services,Naples,"3339 Tamiami Trail E, Naples, FL 34112",+12392522273,Assistance services,rent_assistance,1,22,"416,233",Collier,34101 34102 34103 34104 34105 34106 34107 34108 34109 34110 34112 34113 34114 34116 34117 34119 34120 34134 34141 34142 34145 34146,CornerHelp field research,collier-county-community-human-services-social-services,,,,,,,,,,,,,,,,,
,142,Columbia County SHIP / Local Housing Assistance Program,Lake City,"135 NE Hernando Ave, Suite 203, Lake City, FL 32055",+13867581005,Assistance services,rent_assistance,1,9,"73,977",Columbia,32024 32025 32038 32055 32056 32061 32094 32096 32643,CornerHelp field research,columbia-county-ship-local-housing-assistance-program,,,,,,,,,,,,,,,,,
,143,Crawfordville United Methodist Church — Food Pantry / Second Harvest Partner,Crawfordville,"176 Ochlockonee St, Crawfordville, FL 32327",+18505089097,Assistance services,food_pantry,1,4,"37,115",Wakulla,32326 32327 32346 32358,CornerHelp field research,crawfordville-united-methodist-church-food-pantry-second-harvest-partner,,,,,,,,,,,,,,,,,
,144,Emergency Rental Assistance — Catholic Charities / Interfaith Ministries / Opening Doors,,,+15043664251,Assistance services,rent_assistance,1,11,"207,653",Santa Rosa,32530 32561 32562 32563 32564 32565 32566 32570 32571 32572 32583,CornerHelp field research,emergency-rental-assistance-catholic-charities-interfaith-ministries-opening-doo,,,,,,,,,,,,,,,,,
,145,Escambia County SHIP / Housing Assistance,Escambia County,,+18504580466,Assistance services,rent_assistance,1,23,"331,275",Escambia,32501 32502 32503 32504 32505 32506 32507 32508 32513 32514 32516 32522 32523 32524 32526 32533 32534 32535 32560 32561 32568 32577 32591,CornerHelp field research,escambia-county-ship-housing-assistance,,,,,,,,,,,,,,,,,
,146,Farm Share — Emergency Food Assistance Referral,Homestead,"14125 SW 320th St, Homestead, FL 33033",+13052463276,Assistance services,food_pantry,1,22,"170,174",Citrus,34423 34428 34429 34433 34434 34436 34441 34442 34445 34446 34447 34448 34449 34450 34451 34452 34453 34460 34461 34464 34465 34487,CornerHelp field research,farm-share-emergency-food-assistance-referral,,,,,,,,,,,,,,,,,
,147,Feeding Tampa Bay — Food Assistance Network,Tampa,"3624 Causeway Blvd, Tampa, FL 33619",+18132541190,Assistance services,food_pantry,1,81,"1,581,426",Hillsborough,33508 33509 33510 33511 33527 33530 33534 33547 33548 33549 33550 33556 33558 33559 33563 33564 33565 33566 33567 33568 33569 33570 33571 33572 33573 33575 33578 33579 33583 33584 33587 33592 33594 33595 33596 33598 33601 33602 33603 33604 33605 33606 33607 33609 33610 33611 33612 33613 33614 33615 33616 33617 33618 33619 33621 33622 33623 33624 33625 33626 33629 33634 33635 33637 33646 33647 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33687 33688 33689 33694,CornerHelp field research,feeding-tampa-bay-food-assistance-network,,,,,,,,,,,,,,,,,
,148,Flagler County Human Services — Emergency Assistance,Bunnell,"2199 Commerce Pkwy, Bunnell, FL 32110",+13863134000,Assistance services,rent_assistance,1,6,"136,744",Flagler,32110 32135 32136 32137 32164 32174,CornerHelp field research,flagler-county-human-services-emergency-assistance,,,,,,,,,,,,,,,,,
,149,Florida Department of Health in Duval County — WIC,Jacksonville,"3225 University Blvd S, Jacksonville, FL 32216 (one WIC site)",+10425315001,Assistance services,food_pantry,1,46,"1,055,159",Duval,32081 32202 32203 32204 32205 32206 32207 32208 32209 32210 32211 32212 32216 32217 32218 32219 32220 32221 32222 32223 32224 32225 32226 32227 32228 32229 32233 32234 32235 32236 32238 32239 32240 32241 32244 32245 32246 32247 32250 32254 32255 32256 32257 32258 32266 32277,CornerHelp field research,florida-department-of-health-in-duval-county-wic,,,,,,,,,,,,,,,,,
,150,Florida Department of Health in Escambia County — WIC,Pensacola,"1295 W. Fairfield Dr, Pensacola, FL 32501",+18505956670,Assistance services,food_pantry,1,23,"331,275",Escambia,32501 32502 32503 32504 32505 32506 32507 32508 32513 32514 32516 32522 32523 32524 32526 32533 32534 32535 32560 32561 32568 32577 32591,CornerHelp field research,florida-department-of-health-in-escambia-county-wic,,,,,,,,,,,,,,,,,
,151,Florida Department of Health in Gadsden County — WIC,Quincy,"278 Lasalle Leffall Dr, Quincy, FL 32351",+15087572002,Assistance services,food_pantry,1,6,"44,151",Gadsden,32324 32332 32333 32343 32351 32352,CornerHelp field research,florida-department-of-health-in-gadsden-county-wic,,,,,,,,,,,,,,,,,
,152,Florida Department of Health in Lafayette County — WIC,Mayo,"140 SW Virginia Circle, Mayo, FL 32066",+18003423556,Assistance services,food_pantry,1,2,"8,640",Lafayette,32008 32066,CornerHelp field research,florida-department-of-health-in-lafayette-county-wic,,,,,,,,,,,,,,,,,
,153,Florida Department of Health — WIC,Port St. Joe,"2475 Garrison Ave, Port St. Joe, FL 32456",+18508724666,Assistance services,food_pantry,1,2,"15,876",Gulf,32456 32465,CornerHelp field research,florida-department-of-health-wic,,,,,,,,,,,,,,,,,
,154,"Food Pantry of Gilchrist County, Inc.",Trenton,"112 NE 1st Ave, Trenton, FL 32693",+13524632710,Assistance services,food_pantry,1,4,"20,233",Gilchrist,32008 32619 32643 32693,CornerHelp field research,food-pantry-of-gilchrist-county-inc,,,,,,,,,,,,,,,,,
,155,Franklin County Food Pantry — Franklin's Promise Coalition,Apalachicola,"192 14th St, Apalachicola, FL 32320",+18506533930,Assistance services,food_pantry,1,5,"12,979",Franklin,32320 32322 32328 32346 32358,CornerHelp field research,franklin-county-food-pantry-franklin-s-promise-coalition,,,,,,,,,,,,,,,,,
,156,Franklin County SHIP — Housing Assistance,Eastpoint,"248 US Hwy 98, Eastpoint, FL 32328",+18506535851,Assistance services,rent_assistance,1,5,"12,979",Franklin,32320 32322 32328 32346 32358,CornerHelp field research,franklin-county-ship-housing-assistance,,,,,,,,,,,,,,,,,
,157,Gadsden County SHIP / Community Development Housing Assistance,Community Development,,+18508758659,Assistance services,rent_assistance,1,6,"44,151",Gadsden,32324 32332 32333 32343 32351 32352,CornerHelp field research,gadsden-county-ship-community-development-housing-assistance,,,,,,,,,,,,,,,,,
,158,Glades County Social Services / Emergency Rental Assistance,Glades County,,+18639560411,Assistance services,rent_assistance,1,4,"13,132",Glades,33471 33935 33960 34974,CornerHelp field research,glades-county-social-services-emergency-rental-assistance,,,,,,,,,,,,,,,,,
,159,Gulf County SHIP / Affordable Housing Assistance,Gulf County,,+18503123932,Assistance services,rent_assistance,1,2,"15,876",Gulf,32456 32465,CornerHelp field research,gulf-county-ship-affordable-housing-assistance,,,,,,,,,,,,,,,,,
,160,Hamilton County Community Resources & Second Harvest of the Big Bend,Jasper,"1153 US Hwy 41 NW, Jasper, FL 32052",+13867926647,Assistance services,food_pantry,1,3,"14,334",Hamilton,32052 32053 32096,CornerHelp field research,hamilton-county-community-resources-second-harvest-of-the-big-bend,,,,,,,,,,,,,,,,,
,161,Hamilton County SHIP,Jasper,"1153 US Hwy 41 NW, Suite 2, Jasper, FL 32052",+13867920507,Assistance services,rent_assistance,1,3,"14,334",Hamilton,32052 32053 32096,CornerHelp field research,hamilton-county-ship,,,,,,,,,,,,,,,,,
,162,Hardee Help Center — Crisis Food Assistance,Wauchula,"1330 US Hwy 17 South, Wauchula, FL 33873",+18637730034,Assistance services,"food_pantry, rent_assistance",1,4,"26,068",Hardee,33834 33865 33873 33890,CornerHelp field research,hardee-help-center-crisis-food-assistance,,,,,,,,,,,,,,,,,
,163,Harry Chapin Food Bank of Southwest Florida — TEFAP / Local Partner Pantries,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901",+12393347007,Assistance services,food_pantry,1,47,"860,959",Lee,33901 33902 33903 33904 33905 33906 33907 33908 33909 33910 33912 33913 33914 33915 33916 33917 33918 33919 33920 33921 33922 33924 33928 33929 33931 33932 33936 33955 33956 33957 33965 33966 33967 33970 33971 33972 33973 33974 33976 33990 33991 33993 33994 34133 34134 34135 34136,CornerHelp field research,harry-chapin-food-bank-of-southwest-florida-tefap-local-partner-pantries,,,,,,,,,,,,,,,,,
,164,Harvest Time International / Seminole County Food Pantry Network,Sanford,"225 Harvest Time Dr, Sanford, FL 32771",+14073289900,Assistance services,food_pantry,1,26,"494,605",Seminole,32701 32703 32707 32708 32714 32715 32716 32718 32719 32730 32732 32746 32747 32750 32751 32752 32762 32765 32766 32771 32772 32773 32779 32791 32792 32795,CornerHelp field research,harvest-time-international-seminole-county-food-pantry-network,,,,,,,,,,,,,,,,,
,165,Heartland Food Bank / Local Partner Pantry Network,Sebring,"P.O. Box 249, Sebring, FL 33871",+18633857885,Assistance services,food_pantry,1,11,"109,778",Highlands,33825 33826 33852 33857 33862 33870 33871 33872 33875 33876 33960,CornerHelp field research,heartland-food-bank-local-partner-pantry-network,,,,,,,,,,,,,,,,,
,166,Hendry County SHIP / Housing Assistance,Hendry County,,+18636755297,Assistance services,rent_assistance,1,3,"46,130",Hendry,33440 33935 33975,CornerHelp field research,hendry-county-ship-housing-assistance,,,,,,,,,,,,,,,,,
