CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,187,McDowell County Department of Social Services,Marion,"145 E. Court St., Marion, NC 28752",18286523355,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"45,269",McDowell,28167 28749 28752 28761 28762,NCDHHS Local DSS Directory,mcdowell-county-department-of-social-services-energy,mcdowell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,188,Mecklenburg County Department of Social Services,Charlotte,"430 Stitt Road, Charlotte, NC 28213",17043363000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,55,"1,206,285",Mecklenburg,28031 28036 28070 28078 28105 28106 28126 28130 28134 28202 28203 28204 28205 28206 28207 28208 28209 28210 28211 28212 28213 28214 28215 28216 28217 28219 28220 28221 28222 28224 28226 28227 28228 28229 28230 28231 28232 28233 28234 28235 28236 28237 28241 28247 28256 28262 28266 28269 28270 28271 28273 28277 28278 28297 28299,NCDHHS Local DSS Directory,mecklenburg-county-department-of-social-services-energy,mecklenburg-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,189,Mitchell County Department of Social Services,Bakersville,"347 Long View Drive, Bakersville, NC 28705",18286882175,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"15,030",Mitchell,28705 28740 28777,NCDHHS Local DSS Directory,mitchell-county-department-of-social-services-energy,mitchell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,190,Montgomery County Department of Social Services,Troy,"102 E. Spring St., Drawer N, Troy, NC 27371",19105766531,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"26,364",Montgomery,27209 27229 27281 27306 27341 27356 27371 28127,NCDHHS Local DSS Directory,montgomery-county-department-of-social-services-energy,montgomery-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,191,Moore County Department of Social Services,Carthage,"1036 Carriage Oaks Drive, Carthage, NC 28327",19109472436,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,18,"108,417",Moore,27208 27209 27242 27281 27325 27341 27356 27376 28315 28326 28327 28350 28370 28373 28374 28387 28388 28394,NCDHHS Local DSS Directory,moore-county-department-of-social-services-energy,moore-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,192,Nash County Department of Social Services,,"120 Washington St. Nashville, NC 27856",12524599818,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"97,990",Nash,27557 27803 27804 27807 27809 27816 27822 27856 27868 27882 27891,NCDHHS Local DSS Directory,nash-county-department-of-social-services-energy,nash-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,193,New Hanover County Department of Social Services,Wilmington,"1650 Greenfield St., Wilmington, NC 28401",19107983500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"243,333",New Hanover,28401 28402 28403 28404 28405 28406 28408 28409 28411 28412 28428 28429 28449 28480,NCDHHS Local DSS Directory,new-hanover-county-department-of-social-services-energy,new-hanover-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,194,Northampton County Department of Social Services,Jackson,"9588 NC 305 HWY, Jackson, NC 27845",12525345811,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"16,580",Northampton,27820 27831 27832 27842 27845 27853 27855 27862 27866 27869 27876 27897,NCDHHS Local DSS Directory,northampton-county-department-of-social-services-energy,northampton-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,195,Onslow County Department of Social Services,Jacksonville,"612 College St., Jacksonville, NC 28540",19104554145,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,18,"212,954",Onslow,28445 28454 28460 28518 28521 28539 28540 28541 28542 28543 28544 28545 28546 28547 28555 28574 28582 28584,NCDHHS Local DSS Directory,onslow-county-department-of-social-services-energy,onslow-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,196,Orange County Department of Social Services,Hillsborough,"113 Mayo St., Hillsborough, NC 27278",19192452800,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"152,877",Orange,27231 27243 27278 27302 27510 27514 27515 27516 27517 27541 27572 27705,NCDHHS Local DSS Directory,orange-county-department-of-social-services-energy,orange-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,197,Pamlico County Department of Social Services,Bayboro,"828 Alliance Main St., Bayboro, NC 28515",12527454086,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"12,550",Pamlico,28510 28515 28529 28537 28552 28556 28560 28571 28587,NCDHHS Local DSS Directory,pamlico-county-department-of-social-services-energy,pamlico-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,198,Pasquotank County Department of Social Services,Elizabeth City,"709 Roanoke Ave., Elizabeth City, NC 27909",12523382126,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"41,418",Pasquotank,27906 27907 27909,NCDHHS Local DSS Directory,pasquotank-county-department-of-social-services-energy,pasquotank-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,199,Pender County Department of Social Services,Burgaw,"298-B Progress Drive, Burgaw, NC 28425",19102591240,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"70,077",Pender,28411 28421 28425 28435 28443 28445 28447 28448 28454 28457 28466 28478,NCDHHS Local DSS Directory,pender-county-department-of-social-services-energy,pender-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,200,Perquimans County Department of Social Services,Hertford,"103 Charles St., Hertford, NC 27944",12524267373,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"13,460",Perquimans,27919 27944 27980,NCDHHS Local DSS Directory,perquimans-county-department-of-social-services-energy,perquimans-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,201,Person County Department of Social Services,Roxboro,"355-B S. Madison Blvd., Roxboro, NC 27573",13365998361,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"40,143",Person,27291 27343 27541 27572 27573 27574 27583,NCDHHS Local DSS Directory,person-county-department-of-social-services-energy,person-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,202,Pitt County Department of Social Services,Greenville,"1717 W. Fifth St., Greenville, NC 27834",12529021110,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,17,"180,783",Pitt,27812 27828 27829 27833 27834 27835 27836 27837 27858 27871 27879 27884 27888 27889 28513 28530 28590,NCDHHS Local DSS Directory,pitt-county-department-of-social-services-energy,pitt-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,203,Polk County Department of Social Services,,"231 Wolverine Trail, Mill Spring, 28756",18288942100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"20,320",Polk,28139 28722 28756 28773 28782,NCDHHS Local DSS Directory,polk-county-department-of-social-services-energy,polk-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,204,Randolph County Department of Social Services,Asheboro,"1512 N. Fayetteville St., Asheboro, NC 27204-3239",13366838000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,16,"148,389",Randolph,27203 27205 27208 27233 27239 27248 27263 27298 27313 27316 27317 27341 27350 27355 27360 27370,NCDHHS Local DSS Directory,randolph-county-department-of-social-services-energy,randolph-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,205,Richmond County Department of Social Services,Rockingham,"125 Caroline St., Rockingham, NC 28379",19109978480,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"41,990",Richmond,27229 27306 28338 28345 28347 28363 28379 28380,NCDHHS Local DSS Directory,richmond-county-department-of-social-services-energy,richmond-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,206,Robeson County Department of Social Services,Lumberton,"120 Glen Cowan Road, Lumberton, NC 28360",19106713500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"118,624",Robeson,28340 28357 28358 28359 28360 28364 28369 28371 28372 28377 28383 28384 28386,NCDHHS Local DSS Directory,robeson-county-department-of-social-services-energy,robeson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,207,Rockingham County Department of Social Services,Wentworth,"411 NC HWY 65, Wentworth, NC 27375",13363421394,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"93,517",Rockingham,27025 27027 27048 27214 27288 27289 27311 27320 27326 27357 27358,NCDHHS Local DSS Directory,rockingham-county-department-of-social-services-energy,rockingham-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,208,Rowan County Department of Social Services,Salisbury,"1813 E. Innes St., Salisbury, NC 28146",17042168330,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,19,"153,384",Rowan,27013 27054 28023 28039 28041 28071 28072 28081 28083 28088 28115 28125 28137 28138 28144 28145 28146 28147 28159,NCDHHS Local DSS Directory,rowan-county-department-of-social-services-energy,rowan-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,209,Rutherford County Department of Social Services,Spindale,"389 Fairground Road, Spindale, NC 28160",18282876165,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,10,"65,587",Rutherford,28018 28020 28040 28043 28114 28139 28160 28167 28720 28746,NCDHHS Local DSS Directory,rutherford-county-department-of-social-services-energy,rutherford-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,210,Sampson County Department of Social Services,Clinton,"360 County Complex Road, Suite 100, Clinton, NC 28328",19105927131,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,16,"60,404",Sampson,28318 28328 28329 28334 28341 28344 28366 28382 28385 28393 28441 28444 28447 28453 28458 28478,NCDHHS Local DSS Directory,sampson-county-department-of-social-services-energy,sampson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,211,Scotland County Department of Social Services,Laurinburg,"1405 West Blvd., Laurinburg, NC 28353",19102772500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"33,898",Scotland,28343 28351 28352 28353 28363 28396,NCDHHS Local DSS Directory,scotland-county-department-of-social-services-energy,scotland-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,212,Stanly County Department of Social Services,Albemarle,"1000 N. First St., Suite 2, Albemarle, NC 28001",17049826100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"67,326",Stanly,28001 28002 28009 28071 28097 28124 28127 28128 28129 28137 28163,NCDHHS Local DSS Directory,stanly-county-department-of-social-services-energy,stanly-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,213,Stokes County Department of Social Services,Danbury,"1010 N. Main St., Danbury, NC 27016",13365932861,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"45,857",Stokes,27016 27019 27021 27022 27025 27041 27042 27043 27046 27050 27052 27053,NCDHHS Local DSS Directory,stokes-county-department-of-social-services-energy,stokes-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,214,Surry County Department of Social Services,Dobson,"118 Hamby Road, Dobson, NC 27017",13364018700,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"71,547",Surry,27007 27017 27024 27030 27041 27043 27047 27049 27053 28621 28676 28683,NCDHHS Local DSS Directory,surry-county-department-of-social-services-energy,surry-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,215,Swain County Department of Social Services,Bryson City,"80 Academy St., Bryson City, NC 28713",18284886921,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"13,945",Swain,28713 28719 28789,NCDHHS Local DSS Directory,swain-county-department-of-social-services-energy,swain-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,216,Transylvania County Department of Social Services,Brevard,"106 E. Morgan St., Brevard, NC 28712",18288843174,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"34,103",Transylvania,28708 28712 28718 28742 28747 28766 28768 28772 28774,NCDHHS Local DSS Directory,transylvania-county-department-of-social-services-energy,transylvania-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,217,Tyrrell County Department of Social Services,Columbia,"102 N. Road St., Columbia, NC 27925",12527963421,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"3,517",Tyrrell,27826 27925 27928,NCDHHS Local DSS Directory,tyrrell-county-department-of-social-services-energy,tyrrell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,218,Union County Department of Social Services,Monroe,"2330 Concord Avenue, Monroe, NC 28110",17042964300,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"263,386",Union,28079 28103 28104 28110 28111 28112 28133 28173 28174,NCDHHS Local DSS Directory,union-county-department-of-social-services-energy,union-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,219,Vance County Department of Social Services,Henderson,"500 North Beckford Drive Suite C, Henderson, NC 27536",12524925001,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"42,337",Vance,27507 27536 27537 27544 27553,NCDHHS Local DSS Directory,vance-county-department-of-social-services-energy,vance-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,220,Wake County Department of Social Services,Raleigh,"220 Swinburne St., Raleigh, NC 27620",19192127000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,49,"1,232,444",Wake,27502 27511 27512 27513 27518 27519 27523 27526 27529 27539 27540 27545 27560 27562 27571 27587 27588 27591 27592 27597 27601 27602 27603 27604 27605 27606 27607 27608 27609 27610 27611 27612 27613 27614 27615 27616 27617 27619 27620 27622 27623 27624 27627 27628 27629 27636 27658 27661 27675,NCDHHS Local DSS Directory,wake-county-department-of-social-services-energy,wake-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,221,Warren County Department of Social Services,Warrenton,"307 N. Main St., Warrenton, NC 27589",12522575000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"19,081",Warren,27551 27553 27563 27589 27842 27844 27850,NCDHHS Local DSS Directory,warren-county-department-of-social-services-energy,warren-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,222,Washington County Department of Social Services,Plymouth,"209 E. Main St., Plymouth, NC 27962",12527934041,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"10,654",Washington,27928 27962 27970,NCDHHS Local DSS Directory,washington-county-department-of-social-services-energy,washington-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,223,Watauga County Department of Social Services,Boone,"132 Poplar Grove Connector, Suite C, Boone, NC 28607",18282658100,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"54,997",Watauga,28604 28605 28607 28618 28679 28684 28692 28698,NCDHHS Local DSS Directory,watauga-county-department-of-social-services-energy,watauga-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,224,Wayne County Department of Social Services,Goldsboro,"1560 Clingman St., Goldsboro, NC 27534",19195804034,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"120,338",Wayne,27530 27532 27533 27534 27542 27569 27830 27863 27883 28333 28365 28551 28578,NCDHHS Local DSS Directory,wayne-county-department-of-social-services-energy,wayne-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,225,Wilkes County Department of Social Services,Wilkesboro,"304 College St., Wilkesboro, NC 28697",13366517400,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,17,"66,186",Wilkes,27020 28606 28621 28624 28635 28649 28651 28654 28659 28665 28669 28670 28676 28683 28685 28689 28697,NCDHHS Local DSS Directory,wilkes-county-department-of-social-services-energy,wilkes-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,226,Wilson County Department of Social Services,Wilson,"100 NE Gold St., Wilson, NC 27894",12522064000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"79,958",Wilson,27542 27813 27822 27829 27830 27851 27852 27880 27883 27888 27893 27894 27895 27896,NCDHHS Local DSS Directory,wilson-county-department-of-social-services-energy,wilson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,227,Yadkin County Department of Social Services,Yadkinville,"250 Willow St., Yadkinville, NC 27055",13368497910,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"37,995",Yadkin,27011 27018 27020 27055 28642 28689,NCDHHS Local DSS Directory,yadkin-county-department-of-social-services-energy,yadkin-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,228,Yancey County Department of Social Services,Burnsville,"320 Pensacola Road, Burnsville, NC 28714",18286826148,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"18,993",Yancey,28714 28740 28754,NCDHHS Local DSS Directory,yancey-county-department-of-social-services-energy,yancey-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,,,,
,229,Alachua County Emergency Financial Assistance Program (EFAP) - Housing/Rent,Gainesville,"218 SE 24th St, Gainesville, FL 32641",13522646750,Assistance services,"electric_bill, gas_bill, rent_assistance",1,27,"291,782",Alachua,32601 32603 32604 32605 32606 32607 32608 32609 32610 32614 32615 32616 32618 32622 32627 32631 32635 32640 32641 32643 32653 32655 32658 32666 32667 32669 32694,CornerHelp field research,alachua-county-emergency-financial-assistance-program-efap-housing-rent,,,,,,,,,,,,,,,,,,,,
,230,All Faiths Food Bank — Food Assistance Network,Sarasota,"8171 Blaikie Ct, Sarasota, FL 34240",19413796333,Assistance services,food_pantry,1,33,"476,604",Sarasota,34223 34228 34229 34230 34231 34232 34233 34234 34235 34236 34237 34238 34239 34240 34241 34242 34243 34272 34274 34275 34276 34277 34284 34285 34286 34287 34288 34289 34290 34291 34292 34293 34295,CornerHelp field research,all-faiths-food-bank-food-assistance-network,,,,,,,,,,,,,,,,,,,,
,231,Bay County Housing / Emergency Assistance Services,Panama City,"840 W 11th St, Panama City, FL 32401",18502488140,Assistance services,"food_pantry, rent_assistance",1,17,"199,718",Bay,32401 32402 32403 32404 32405 32406 32407 32408 32409 32411 32413 32417 32437 32438 32444 32456 32466,CornerHelp field research,bay-county-housing-emergency-assistance-services,,,,,,,,,,,,,,,,,,,,
,232,Big Lake Mission Outreach — Food Assistance,Okeechobee,,18637634654,Assistance services,food_pantry,1,3,"42,369",Okeechobee,34972 34973 34974,CornerHelp field research,big-lake-mission-outreach-food-assistance,,,,,,,,,,,,,,,,,,,,
,233,Bonifay First United Methodist Church — Food Pantry,Bonifay,"202 N Oklahoma St, Bonifay, FL 32425",18505473785,Assistance services,food_pantry,1,4,"19,876",Holmes,32425 32440 32455 32464,CornerHelp field research,bonifay-first-united-methodist-church-food-pantry,,,,,,,,,,,,,,,,,,,,
,234,Caring & Sharing of South Walton — Emergency Food Pantry,Santa Rosa Beach,"112 Lynn Dr, Santa Rosa Beach, FL 32459",18502672866,Assistance services,"food_pantry, rent_assistance",1,10,"89,666",Walton,32433 32435 32439 32455 32459 32461 32462 32464 32550 32567,CornerHelp field research,caring-sharing-of-south-walton-emergency-food-pantry,,,,,,,,,,,,,,,,,,,,
,235,Catholic Charities St. Augustine — Emergency/Rural Food Assistance,St. Augustine,"525 SR 16, Unit 111-112, St. Augustine, FL 32084",19048296300,Assistance services,food_pantry,1,13,"334,928",St. Johns,32004 32033 32080 32081 32082 32084 32085 32086 32092 32095 32145 32259 32260,CornerHelp field research,catholic-charities-st-augustine-emergency-rural-food-assistance,,,,,,,,,,,,,,,,,,,,
,236,Catholic Charities St. Augustine — Rural Outreach / Food Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",13863282333,Assistance services,"food_pantry, rent_assistance",1,14,"77,301",Putnam,32112 32131 32139 32140 32147 32148 32177 32178 32181 32187 32189 32193 32640 32666,CornerHelp field research,catholic-charities-st-augustine-rural-outreach-food-assistance,,,,,,,,,,,,,,,,,,,,
,237,Catholic Charities — Food Distribution,Arcadia,"1330 E Oak St, Arcadia, FL 34266",18634941068,Assistance services,food_pantry,1,2,"36,744",DeSoto,34266 34269,CornerHelp field research,catholic-charities-food-distribution,,,,,,,,,,,,,,,,,,,,
,238,"Catholic Charities, Diocese of St. Petersburg — Financial Assistance",New Port Richey,"5609 US Hwy 19, Suite I, New Port Richey, FL 34652",18136314370,Assistance services,rent_assistance,1,34,"659,114",Pasco,33523 33524 33525 33526 33539 33540 33541 33542 33543 33544 33545 33549 33556 33558 33559 33576 34610 34637 34638 34639 34652 34653 34654 34655 34656 34667 34668 34669 34673 34674 34680 34690 34691 34692,CornerHelp field research,catholic-charities-diocese-of-st-petersburg-financial-assistance,,,,,,,,,,,,,,,,,,,,
,239,Christian Service Center of Columbia County — Food Pantry,Lake City,"421 NW Washington St, Lake City, FL 32055",13867551770,Assistance services,food_pantry,1,9,"73,977",Columbia,32024 32025 32038 32055 32056 32061 32094 32096 32643,CornerHelp field research,christian-service-center-of-columbia-county-food-pantry,,,,,,,,,,,,,,,,,,,,
,240,Collier County Community & Human Services — Social Services,Naples,"3339 Tamiami Trail E, Naples, FL 34112",12392522273,Assistance services,rent_assistance,1,22,"416,233",Collier,34101 34102 34103 34104 34105 34106 34107 34108 34109 34110 34112 34113 34114 34116 34117 34119 34120 34134 34141 34142 34145 34146,CornerHelp field research,collier-county-community-human-services-social-services,,,,,,,,,,,,,,,,,,,,
,241,Columbia County SHIP / Local Housing Assistance Program,Lake City,"135 NE Hernando Ave, Suite 203, Lake City, FL 32055",13867581005,Assistance services,rent_assistance,1,9,"73,977",Columbia,32024 32025 32038 32055 32056 32061 32094 32096 32643,CornerHelp field research,columbia-county-ship-local-housing-assistance-program,,,,,,,,,,,,,,,,,,,,
,242,Crawfordville United Methodist Church — Food Pantry / Second Harvest Partner,Crawfordville,"176 Ochlockonee St, Crawfordville, FL 32327",18505089097,Assistance services,food_pantry,1,4,"37,115",Wakulla,32326 32327 32346 32358,CornerHelp field research,crawfordville-united-methodist-church-food-pantry-second-harvest-partner,,,,,,,,,,,,,,,,,,,,
