CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,82,Southeast Texas Regional Planning Commission,Beaumont,,+14098998444,CEAP,"electric_bill, gas_bill, reconnect_fee, utility_deposit",3,40,"408,189",Hardin; Jefferson; Orange,77376 77519 77564 77585 77611 77613 77619 77622 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77651 77655 77656 77657 77659 77662 77663 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726,TDHCA Master List of Community Affairs Subrecipients,southeast-texas-regional-planning-commission-ceap,,unknown,,,,,,8AM - 4PM,,,,,,voicemail,Was routed to voicemail box,2026-09-02,Karlo,,,
,83,Catholic Charities — Beacon of Hope Center,Galveston,"4700 Broadway, Suite B-101",+14097622064,Assistance services,rent_assistance,1,0,"367,407",Galveston,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-beacon-of-hope-center,,unknown,,,,,,8AM to 4PM (Branch Office),,,,,,reached,"Asked to leave a phone number, she will call us back",2026-09-02,Karlo,,,
,84,Galveston County Food Bank,Texas City,624 4th Avenue N.,,Assistance services,food_pantry,1,0,"367,407",Galveston,,Harris County Public Library — Food Banks and Food Assistance,galveston-county-food-bank,,,,,,,,,,,,,,,,,,,,
,85,Nueces County Community Action Agency,Corpus Christi,,+13618837201,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,36,"356,424",Nueces,78330 78339 78343 78351 78373 78380 78383 78401 78402 78403 78404 78405 78406 78407 78408 78409 78410 78411 78412 78413 78414 78415 78416 78417 78418 78419 78426 78427 78460 78463 78465 78466 78467 78468 78469 78480,TDHCA Master List of Community Affairs Subrecipients,nueces-county-community-action-agency-ceap,,unknown,,,,,online,,,,,,Naomi,refused,"
The agent was unable to provide details on how the process works and simply redirected all inquiries to the website, nccaatx.org, without providing further guidance or clarification.",2026-09-02,Karlo,,,
,86,"Tri-County Community Action, Inc.",Center,,+19365986315,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",9,55,"341,265",Harrison; Jasper; Newton; Panola; Sabine; San Augustine; Shelby; Tyler; Upshur,75601 75602 75605 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75661 75669 75670 75671 75672 75683 75686 75688 75691 75692 75755 75928 75929 75930 75931 75932 75933 75935 75936 75938 75942 75948 75951 75954 75956 75959 75966 75968 75972 75973 75974 75975 75977 75979 77612 77616 77624 77632 77660 77663 77664,TDHCA Master List of Community Affairs Subrecipients,tri-county-community-action-inc-ceap,,accepting,,,,,online,,,,,,Patricia,refused,"Patricia was not willing to provide any information and redirected all inquiries to tccainc.org. The website provides access to the application form and a complete list of requirements, so applicants can review the information and submit their application directly through the site.",,,,,
,87,"Community Services of Northeast Texas, Inc.",Linden,,+19037565596,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",12,75,"339,102",Bowie; Camp; Cass; Delta; Franklin; Hopkins; Lamar; Marion; Morris; Rains; Red River; Titus,75410 75411 75412 75415 75416 75417 75420 75421 75426 75431 75432 75433 75435 75436 75437 75440 75441 75446 75448 75450 75451 75453 75455 75456 75457 75460 75461 75462 75468 75469 75470 75471 75472 75473 75477 75478 75480 75481 75482 75483 75486 75487 75494 75497 75501 75503 75504 75505 75550 75551 75554 75555 75556 75558 75559 75560 75561 75562 75563 75564 75566 75567 75568 75569 75570 75571 75572 75574 75630 75638 75656 75657 75668 75683 75686,TDHCA Master List of Community Affairs Subrecipients,community-services-of-northeast-texas-inc-ceap,,unknown,,,,,,,,,,,,no_answer,Asked to record message. ,2026-09-03,Karlo,,,
,88,Community Action Inc. of Central Texas,San Marcos,,+15123921161,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",3,22,"326,428",Blanco; Caldwell; Hays,78606 78610 78616 78619 78620 78632 78635 78636 78640 78644 78648 78652 78655 78656 78661 78662 78663 78666 78667 78676 78737 78953,TDHCA Master List of Community Affairs Subrecipients,community-action-inc-of-central-texas-ceap,,unknown,,,,,,"8am to 12nn, 1PM to 5PM.",,,,,,voicemail,Asked to record message. ,2026-09-03,Karlo,,,
,89,Guadalupe Economic Services Corporation,Lubbock,,+18067444416,WAP,"home_repair, hvac_repair, weatherization",1,30,"309,904",Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,guadalupe-economic-services-corporation-wap,,,,,,,,,,,,,,,,,,,,
,90,"Lubbock, City of, Community Development Department",Lubbock,,+18067752296,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",1,30,"309,904",Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,lubbock-city-of-community-development-department-ceap,,accepting,,,,,phone,8AM - 5PM CST,,"1. Must have a Notice of Disconnection.
2. Someone in the household must be a senior citizen or a child under 5 years old.",If electricity is still active,,Karina,reached,"Advised to contact the following organizations for additional assistance:

Neighborhood House: 806-589-1907
Catholic Charities: 806-765-8475",2026-09-03,Karlo,,,
,91,Webb County Community Action Agency,Laredo,,+19565234222,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,11,"268,453",Webb,78019 78040 78041 78042 78043 78044 78045 78046 78344 78369 78371,TDHCA Master List of Community Affairs Subrecipients,webb-county-community-action-agency-ceap,,seasonal_closed,,,,2026-09-14,walk_in,8AM - 5PM CST,,"1. The checklist will be provided during the application intake process.

2. They prefer not to provide specific information, as requirements may vary depending on the applicant’s profile. ",,,Miss Rubio,reached,"Advised the customer to visit the office on September 14, when they reopen.",2026-09-03,Karlo,,,
,92,Concho Valley Community Action Agency,San Angelo,,+13256532411,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",14,61,"174,876",Coke; Coleman; Concho; Crockett; Irion; Kimble; McCulloch; Menard; Reagan; Runnels; Schleicher; Sterling; Sutton; Tom Green,76821 76825 76828 76834 76836 76837 76841 76845 76848 76849 76852 76854 76858 76859 76861 76862 76865 76866 76871 76872 76873 76874 76875 76878 76882 76883 76884 76886 76887 76888 76901 76902 76903 76904 76905 76906 76908 76909 76930 76932 76933 76934 76935 76936 76937 76939 76940 76941 76943 76945 76950 76951 76955 76957 76958 79506 79519 79538 79566 79567 79739,TDHCA Master List of Community Affairs Subrecipients,concho-valley-community-action-agency-ceap,,unknown,,,,,,,,,,,,gatekeeper,The call was answered by an AI agent designed to interact like a live representative. The system was able to respond to inquiries and handle the conversation similarly to a human agent.,2026-09-03,Karlo,,,
,93,Cornerstone Community Action Agency,Coleman,,+13256254167,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",7,51,"119,116",Brown; Callahan; Coleman; Comanche; Eastland; McCulloch; Runnels,76432 76435 76436 76437 76442 76443 76444 76445 76446 76448 76454 76455 76464 76468 76470 76471 76474 76801 76802 76803 76804 76821 76823 76825 76827 76828 76834 76836 76845 76852 76857 76858 76861 76865 76871 76872 76873 76875 76878 76882 76884 76887 76888 76890 76933 79504 79510 79519 79538 79566 79567,TDHCA Master List of Community Affairs Subrecipients,cornerstone-community-action-agency-ceap,,seasonal_closed,,,,2026-09-30,online,,,"At least one household member age 60 or older must be living in the home.

A child age 5 or younger must be living in the household.

A household member with a disability must be living in the home",,,Reiley,reached,"Spoke with Reiley, who confirmed that they are currently closed for intake. She mentioned that the program will likely reopen toward the end of this month, although no specific reopening date was provided. ",2026-09-03,Karlo,,,
,94,South Texas Development Council,Laredo,,+19567223995,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",3,13,"84,541",Jim Hogg; Starr; Zapata,78067 78076 78360 78361 78536 78545 78547 78548 78564 78582 78584 78588 78591,TDHCA Master List of Community Affairs Subrecipients,south-texas-development-council-ceap,,seasonal_closed,,,,,,,,,,,Leticia,reached,"Spoke with the operator, who confirmed that they are currently closed for new intakes. I was referred to 956-234-182 for Utility Assistance for further assistance.",2026-09-03,Karlo,,,
,95,Economic Action Committee of the Gulf Coast,Bay City,,+19792456901,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",2,19,"80,918",Matagorda; Wharton,77404 77414 77419 77420 77428 77434 77435 77437 77448 77453 77454 77455 77457 77458 77465 77467 77468 77482 77488,TDHCA Master List of Community Affairs Subrecipients,economic-action-committee-of-the-gulf-coast-ceap,,unknown,,,,,,,,,,,,voicemail,"High wait time, forwarded to VM - will attempt to call again",2026-09-03,Karlo,,,
,96,"Aspermont Small Business Development Center, Inc.",Aspermont,,+19409893538,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",6,28,"58,752",Haskell; Jones; Kent; Knox; Stonewall; Throckmorton,76363 76371 76372 76388 76483 76491 79227 79501 79502 79503 79505 79518 79520 79521 79525 79528 79529 79533 79536 79539 79540 79544 79547 79548 79553 79560 79561 79601,TDHCA Master List of Community Affairs Subrecipients,aspermont-small-business-development-center-inc-ceap,,accepting,,,,,,,,,,,Kelly,refused,"Kelly refused to give details without confirming phone number, mailing address, SSN etc..",2026-09-03,Karlo,,,
,97,Community Action Social Services & Education,Eagle Pass,,+18307737274,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",1,4,"57,885",Maverick,78852 78853 78860 78877,TDHCA Master List of Community Affairs Subrecipients,community-action-social-services-education-ceap,,funds_exhausted,,,,Agent can't determine for now,phone,9AM - 5PM CST,,"New Funding year, documents/requirements are changing, refuse to give details",,,Karina,reached,"Funds exhausted. Entering a new funding year, advised to call again from time to time to check. ",2026-09-03,Karlo,,,
,98,Kleberg County Human Services,Kingsville,,+13615958572,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",2,4,"31,324",Kenedy; Kleberg,78338 78363 78379 78385,TDHCA Master List of Community Affairs Subrecipients,kleberg-county-human-services-ceap,,accepting,,,,,walk_in,9AM - 5PM CST,None,Requirements list will be given after scheduled appointment,The agent can't determine this. The case manager will make that decision on-site.,,Joseph,reached,"
Land mark: 1109 East Santa Hitrudes St, Kingsville. El Dorado restaurant ",2026-09-03,Karlo,,,
,99,Pecos County Community Action Agency,Fort Stockton,,+14323367526,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",3,9,"20,241",Crane; Pecos; Terrell,78851 79730 79731 79735 79740 79743 79744 79781 79848,TDHCA Master List of Community Affairs Subrecipients,pecos-county-community-action-agency-ceap,,accepting,,,,,walk_in,9AM - 5PM CST,None,"Passport, If no Passport, Birth Certificate, License, and Social.",No disqualification,,Patricia,reached,"Pick up the application
100 South Jackson",2026-09-03,Karlo,,,
,100,Alachua County Emergency Financial Assistance Program (EFAP) - Housing/Rent,Gainesville,"218 SE 24th St, Gainesville, FL 32641",352-264-6750,Assistance Program,rent_assistance,,,,Alachua County,"32601, 32603, 32605, 32606, 32607, 32608, 32609, 32610, 32611, 32615, 32618, 32622, 32631, 32640, 32641, 32643, 32653, 32666, 32667, 32669, 3269",,,,,,,,,,,,,,,,,,,,,,
,101,Alachua County Emergency Financial Assistance Program (EFAP) - Utility,Gainesville,"218 SE 24th St, Gainesville, FL 32641",352-264-6750,Assistance Program,"electric_bill, gas_bill",,,,Alachua County,,,,,,,,,,,,,,,,,,,,,,,
,102,Local Food Assistance Resource Network,Varies by provider,Varies by participating provider,N/A,Assistance Program,food_pantry,,,,Alachua County,"32601, 32603, 32605, 32606, 32607, 32608, 32609, 32610, 32611, 32615, 32618, 32622, 32631, 32640, 32641, 32643, 32653, 32666, 32667, 32669, 32694.",,,,,,,,,,,,,,,,,,,,,,
,103,Northeast Florida Community Action Agency — Emergency Assistance / Housing Services,Baker County,Confirm current Baker County intake location,904-259-4481,Assistance Program,rent_assistance,,,,Baker County,"32040, 32063, 32087, 32003, 32030, 32043, 32065, 32068, 32073, 32079, 32656, 32009, 32034, 32043, 32065, 32201–32277, 32290, 32011, 32034, 32041, 32046, 32097, 32177, 32178, 32189, 32193, 32195, 32033, 32080, 32081, 32082, 32084, 32085, 32086, 32092, 32095, 32259",,,,,,,,,,,,,,,,,,,,,,
,104,LIHEAP — Northeast Florida Community Action Agency,Baker County,Confirm current Baker County intake location,904-259-4481,Assistance Program,"electric_bill, gas_bill",,,,Baker County,"32040, 32063, 32087, 32003, 32030, 32043, 32065, 32068, 32073, 32079, 32201–32277, 32110, 32135–32137, 32164, 32174, 32176, 32011, 32034, 32041, 32046, 32097, 32177, 32178, 32189, 32193, 32195, 32033, 32080–32086, 32092, 32095",,,,,,,,,,,,,,,,,,,,,,
,105,Baker County Food Assistance / Local Pantry Referral,Varies by provider,Varies by provider,N/A,Assistance Program,food_pantry,,,,Baker County,"32040,32043, 32063, 32087",,,,,,,,,,,,,,,,,,,,,,
,106,Bay County Housing / Emergency Assistance Services,Panama City,"840 W 11th St, Panama City, FL 32401",850-248-8140,Assistance Program,rent_assistance,,,,Bay County,"32401, 32403, 32404, 32405, 32407, 32408, 32409, 32413, 32437, 32438, 32444, 32456, 32466",,,,,,,,,,,,,,,,,,,,,,
,107,LIHEAP — Bay County Council on Aging,Panama City,"1116 Frankford Ave, Panama City, FL 32401",850-769-3468,Assistance Program,"electric_bill, gas_bill",,,,Bay County,,,,,,,,,,,,,,,,,,,,,,,
,108,Bay County Food Pantries and School Lunch Sites,Panama City,"840 W 11th St, Panama City, FL 32401",850-248-8140,Assistance Program,food_pantry,,,,Bay County,,,,,,,,,,,,,,,,,,,,,,,
,109,Suwannee River Economic Council — Emergency/Housing Assistance,Bradford County,Confirm current Bradford County intake location,904-964-6696,Assistance Program,rent_assistance,,,,Bradford County,,,,,,,,,,,,,,,,,,,,,,,
,110,LIHEAP — Suwannee River Economic Council,Bradford County,Confirm current Bradford County intake location,904-964-6696,Assistance Program,"electric_bill, gas_bill",,,,Bradford County,,,,,,,,,,,,,,,,,,,,,,,
,111,Bradford County Food Assistance / Local Pantry Referral,Varies by provider,Varies by provider,N/A,Assistance Program,food_pantry,,,,Bradford County,,,,,,,,,,,,,,,,,,,,,,,
,112,Community Action Agency — Rent Payment Assistance,Cocoa,"Dr. Joe Lee Smith Community Center, 415 Stone St, Cocoa, FL 32922",321-633-1951,Assistance Program,rent_assistance,,,,Brevard County,,,,,,,,,,,,,,,,,,,,,,,
,113,Low Income Home Energy Assistance Program (LIHEAP) — Community Action Agency,Cocoa,"Dr. Joe Lee Smith Community Center, 415 Stone St, Cocoa, FL 32922",321-633-1951,Assistance Program,"electric_bill, gas_bill",,,,Brevard County,,,,,,,,,,,,,,,,,,,,,,,
,114,Brevard County Food/Nutrition Assistance Referral,Varies by provider,Varies by provider,N/A,Assistance Program,food_pantry,,,,Brevard County,,,,,,,,,,,,,,,,,,,,,,,
,115,Broward County Family Success Centers — Emergency Rent/Mortgage/Utility Assistance,Fort Lauderdale,"115 S Andrews Ave, Fort Lauderdale, FL 33301",954-357-5025,Assistance Program,"electric_bill, mortgage_assistance, rent_assistance",,,,Broward County,,,,,,,,,,,,,,,,,,,,,,,
,116,Low Income Home Energy Assistance Program (LIHEAP) — Broward County Community Action Agency,Fort Lauderdale,"900 NW 31st Ave., Fort Lauderdale, FL 33311",954-357-5025,Assistance Program,"electric_bill, gas_bill",,,,Broward County,,,,,,,,,,,,,,,,,,,,,,,
,117,"Healthy Mothers, Healthy Babies — Emergency Basic Needs Assistance",Verify current location,Verify intake location when applying,N/A,Assistance Program,food_pantry,,,,Broward County,,,,,,,,,,,,,,,,,,,,,,,
,118,Local Housing/Rent Assistance Referral — Calhoun County,Verify current location,Confirm current local intake location,850-674-5067,Assistance Program,rent_assistance,,,,Calhoun County,,,,,,,,,,,,,,,,,,,,,,,
,119,LIHEAP — Capital Area Community Action Agency,Calhoun County,Confirm Calhoun County intake location,850-674-5067,Assistance Program,"electric_bill, gas_bill",,,,Calhoun County,,,,,,,,,,,,,,,,,,,,,,,
,120,WIC — Florida Department of Health in Calhoun County,Blountstown,"19611 SR 20 W, Blountstown, FL 32424",800-342-3556,Assistance Program,food_pantry,,,,Calhoun County,,,,,,,,,,,,,,,,,,,,,,,
,121,"Charlotte County Human Services — Rent, Mortgage & Utility Assistance",Port Charlotte,"21500 Gibralter Dr, Unit 1, Port Charlotte, FL 33952",941-833-6500,Assistance Program,"electric_bill, mortgage_assistance, rent_assistance",,,,Charlotte County,,,,,,,,,,,,,,,,,,,,,,,
,122,LIHEAP — Charlotte County Human Services,Port Charlotte,"21500 Gibralter Dr, Unit 1, Port Charlotte, FL 33952",941-833-6500,Assistance Program,"electric_bill, gas_bill",,,,Charlotte County,,,,,,,,,,,,,,,,,,,,,,,
,123,Charlotte County Family Services Center — Food Pantry and Nutrition Program Referral,Port Charlotte,"18500 Murdock Circle, Port Charlotte, FL 33948",941-833-6500,Assistance Program,food_pantry,,,,Charlotte County,,,,,,,,,,,,,,,,,,,,,,,
,124,Citrus County Community Resource Assistance — Housing/Rental Referral,Verify current location,Confirm current intake location,352-527-7520,Assistance Program,rent_assistance,,,,Citrus County,,,,,,,,,,,,,,,,,,,,,,,
,125,LIHEAP — Citrus County,Verify current location,Confirm current LIHEAP intake location,352-527-7520,Assistance Program,"electric_bill, gas_bill",,,,Citrus County,,,,,,,,,,,,,,,,,,,,,,,
,126,Farm Share — Emergency Food Assistance Referral,Homestead,"14125 SW 320th St, Homestead, FL 33033",305-246-3276,Assistance Program,food_pantry,,,,Citrus County,,,,,,,,,,,,,,,,,,,,,,,
,127,Impact Clay / Clay County Community Resource Guide — Rental and Homelessness Assistance,Green Cove Springs,"P.O. Box 1366, Green Cove Springs, FL 32043",904-269-6300,Assistance Program,"eviction_prevention, rent_assistance",,,,Clay County,,,,,,,,,,,,,,,,,,,,,,,
,128,LIHEAP — Northeast Florida Community Action Agency,Clay County,Confirm current Clay County intake location,904-362-8052,Assistance Program,"electric_bill, gas_bill",,,,Clay County,,,,,,,,,,,,,,,,,,,,,,,
,129,Impact Clay / Clay County Community Resource Guide — Food Assistance,Green Cove Springs,"P.O. Box 1366, Green Cove Springs, FL 32043",904-269-6300,Assistance Program,food_pantry,,,,Clay County,,,,,,,,,,,,,,,,,,,,,,,
,130,Collier County Community & Human Services — Social Services,Naples,"3339 Tamiami Trail E, Naples, FL 34112",239-252-2273,Assistance Program,rent_assistance,,,,Collier County,,,,,,,,,,,,,,,,,,,,,,,
,131,"LIHEAP — Agricultural and Labor Program, Inc. (ALPI)",Immokalee/Collier County,Immokalee/Collier County service location — confirm before visit,239-657-7272,Assistance Program,"electric_bill, gas_bill",,,,Collier County,,,,,,,,,,,,,,,,,,,,,,,
,132,Harry Chapin Food Bank — Collier County Center / Partner Pantry Network,Naples,"3940 Prospect Ave #101, Naples, FL 34104",239-334-7007,Assistance Program,food_pantry,,,,Collier County,,,,,,,,,,,,,,,,,,,,,,,
,133,Columbia County SHIP / Local Housing Assistance Program,Lake City,"135 NE Hernando Ave, Suite 203, Lake City, FL 32055",386-758-1005,Assistance Program,rent_assistance,,,,Columbia County,,,,,,,,,,,,,,,,,,,,,,,
,134,"LIHEAP — Suwannee River Economic Council, Inc.",Lake City,"303 NW Quinten St, Lake City, FL 32055-2104",386-752-8726,Assistance Program,"electric_bill, gas_bill",,,,Columbia County,,,,,,,,,,,,,,,,,,,,,,,
,135,Christian Service Center of Columbia County — Food Pantry,Lake City,"421 NW Washington St, Lake City, FL 32055",386-755-1770,Assistance Program,food_pantry,,,,Columbia County,,,,,,,,,,,,,,,,,,,,,,,
,136,DeSoto County Social Services — Housing Assistance / SHIP,Arcadia,"201 E Oak St, Suite 202, Arcadia, FL 34266",863-993-4858,Assistance Program,rent_assistance,,,,DeSoto County,,,,,,,,,,,,,,,,,,,,,,,
,137,LIHEAP — DeSoto County Social Services,Arcadia,"201 E Oak St, Suite 202, Arcadia, FL 34266",863-993-4858,Assistance Program,"electric_bill, gas_bill",,,,DeSoto County,,,,,,,,,,,,,,,,,,,,,,,
,138,Catholic Charities — Food Distribution,Arcadia,"1330 E Oak St, Arcadia, FL 34266",863-494-1068,Assistance Program,food_pantry,,,,DeSoto County,,,,,,,,,,,,,,,,,,,,,,,
,139,Suwannee River Economic Council — SHIP Housing Assistance,Cross City,"314 NE 255th St, Cross City, FL 32628",352-498-5018,Assistance Program,rent_assistance,,,,Dixie County,,,,,,,,,,,,,,,,,,,,,,,
,140,"LIHEAP — Suwannee River Economic Council, Inc.",Cross City,"314 NE 255th St, Cross City, FL 32628",352-498-5018,Assistance Program,"electric_bill, gas_bill",,,,Dixie County,,,,,,,,,,,,,,,,,,,,,,,
,141,Florida Department of Health in Dixie County — WIC,Cross City,"149 NE 241st St, Cross City, FL 32628",800-342-3556,Assistance Program,food_pantry,,,,Dixie County,,,,,,,,,,,,,,,,,,,,,,,
,142,Jacksonville Emergency Assistance Program — Rent/Mortgage Assistance,Jacksonville,"1809 Art Museum Dr, Suite 100, Jacksonville, FL 32207",904-255-2469,Assistance Program,"mortgage_assistance, rent_assistance",,,,Duval County,,,,,,,,,,,,,,,,,,,,,,,
,143,LIHEAP — Northeast Florida Community Action Agency,Jacksonville,"2055 Reyko Rd, St. Johns Building, Suite 200, Jacksonville, FL 32207",904-362-8052,Assistance Program,"electric_bill, gas_bill",,,,Duval County,,,,,,,,,,,,,,,,,,,,,,,
,144,Florida Department of Health in Duval County — WIC,Jacksonville,"3225 University Blvd S, Jacksonville, FL 32216 (one WIC site)",904-253-1500 option 1,Assistance Program,food_pantry,,,,Duval County,,,,,,,,,,,,,,,,,,,,,,,
,145,Escambia County SHIP / Housing Assistance,Escambia County,Escambia County Housing Finance Authority — verify current intake location,850-458-0466,Assistance Program,rent_assistance,,,,Escambia County,,,,,,,,,,,,,,,,,,,,,,,
,146,"LIHEAP — Community Action Program Committee, Inc. (CAPC)",Pensacola,"1380 N. Palafox St, Pensacola, FL 32501 (verify before visit)",844-356-8139,Assistance Program,"electric_bill, gas_bill",,,,Escambia County,,,,,,,,,,,,,,,,,,,,,,,
,147,Florida Department of Health in Escambia County — WIC,Pensacola,"1295 W. Fairfield Dr, Pensacola, FL 32501",850-595-6670,Assistance Program,food_pantry,,,,Escambia County,,,,,,,,,,,,,,,,,,,,,,,
,148,Flagler County Human Services — Emergency Assistance,Bunnell,"2199 Commerce Pkwy, Bunnell, FL 32110",386-313-4000,Assistance Program,rent_assistance,,,,Flagler County,,,,,,,,,,,,,,,,,,,,,,,
,149,Northeast Florida Community Action Agency (NFCAA) — LIHEAP,Bunnell,"703 E Moody Blvd, Suite 4, Bunnell, FL 32110",904-362-8052,Assistance Program,"electric_bill, gas_bill",,,,Flagler County,,,,,,,,,,,,,,,,,,,,,,,
,150,Grace Community Food Pantry,Palm Coast,"245 Education Way, Palm Coast, FL 32164",N/A,Assistance Program,food_pantry,,,,Flagler County,,,,,,,,,,,,,,,,,,,,,,,
,151,Franklin County SHIP — Housing Assistance,Eastpoint,"248 US Hwy 98, Eastpoint, FL 32328",850-653-5851,Assistance Program,rent_assistance,,,,Franklin County,,,,,,,,,,,,,,,,,,,,,,,
,152,Capital Area Community Action Agency — LIHEAP,Franklin County,Verify current Franklin County intake site,850-670-2073,Assistance Program,"electric_bill, gas_bill",,,,Franklin County,,,,,,,,,,,,,,,,,,,,,,,
,153,Franklin County Food Pantry — Franklin's Promise Coalition,Apalachicola,"192 14th St, Apalachicola, FL 32320",850-653-3930,Assistance Program,food_pantry,,,,Franklin County,,,,,,,,,,,,,,,,,,,,,,,
,154,Gadsden County SHIP / Community Development Housing Assistance,Community Development,Verify current Community Development intake location,850-875-8659,Assistance Program,rent_assistance,,,,Gadsden County,,,,,,,,,,,,,,,,,,,,,,,
,155,Capital Area Community Action Agency — LIHEAP,Gadsden County,Verify current Gadsden County intake site,850-222-2043,Assistance Program,"electric_bill, gas_bill",,,,Gadsden County,,,,,,,,,,,,,,,,,,,,,,,
,156,Florida Department of Health in Gadsden County — WIC,Quincy,"278 Lasalle Leffall Dr, Quincy, FL 32351",850-875-7200 ext. 2,Assistance Program,food_pantry,,,,Gadsden County,,,,,,,,,,,,,,,,,,,,,,,
,157,Suwannee River Economic Council — Housing/SHIP Assistance,Gilchrist County,Verify current Gilchrist County Client Service Center,352-463-3170,Assistance Program,rent_assistance,,,,Gilchrist County,,,,,,,,,,,,,,,,,,,,,,,
,158,"Suwannee River Economic Council, Inc. — LIHEAP",Gilchrist County,Verify current Gilchrist County intake location,386-362-4115,Assistance Program,"electric_bill, gas_bill",,,,Gilchrist County,,,,,,,,,,,,,,,,,,,,,,,
,159,"Food Pantry of Gilchrist County, Inc.",Trenton,"112 NE 1st Ave, Trenton, FL 32693",352-463-2710,Assistance Program,food_pantry,,,,Gilchrist County,,,,,,,,,,,,,,,,,,,,,,,
,160,Glades County Social Services / Emergency Rental Assistance,Glades County,Glades County Social Services — confirm current intake address,863-956-0411,Assistance Program,rent_assistance,,,,Glades County,,,,,,,,,,,,,,,,,,,,,,,
,161,"LIHEAP — Agricultural & Labor Program, Inc. (ALPI)",Lake Alfred,"300 Lynchburg Rd, Lake Alfred, FL 33850 (agency office; verify local intake)",863-983-2774,Assistance Program,"electric_bill, gas_bill",,,,Glades County,,,,,,,,,,,,,,,,,,,,,,,
,162,Harry Chapin Food Bank / Local Partner Pantry Network,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901 (food-bank office; local distributions vary)",239-334-7007,Assistance Program,food_pantry,,,,Glades County,,,,,,,,,,,,,,,,,,,,,,,
,163,Gulf County SHIP / Affordable Housing Assistance,Gulf County,Gulf County SHIP — verify current office address before visit,850-312-3932,Assistance Program,rent_assistance,,,,Gulf County,,,,,,,,,,,,,,,,,,,,,,,
,164,LIHEAP — Capital Area Community Action Agency,Port St. Joe/Wewahitchka,Port St. Joe/Wewahitchka service areas — verify current intake location,850-759-0856,Assistance Program,"electric_bill, gas_bill",,,,Gulf County,,,,,,,,,,,,,,,,,,,,,,,
,165,Florida Department of Health — WIC,Port St. Joe,"2475 Garrison Ave, Port St. Joe, FL 32456",850-872-4666,Assistance Program,food_pantry,,,,Gulf County,,,,,,,,,,,,,,,,,,,,,,,
